label,description
MASKS REQUIRED,"business requires masks to enter, and shop"
6 FT APART,require customers to remain 6 feet apart at all times
OUTDOOR DINING,outdoor dining is available
INDOOR DINING,indoor dining is available
CURBSIDE PICKUP,curbside pickup is available
DISINFECTION,regularly disinfect areas of the business that might have multiple contact with customers
TRAINED WORKERS,workers are trained to follow state recommended protocols for safety
LOW DENSITY, business occupancy is limited to maintain social distancing standards
ADEQUATE SUPPLIES, "business has supplies available for customer use, like hand sanitizers, soap, masks."
